Transaction_ID,Customer_ID,Transaction_Date,Transaction_Time,Customer_Age,Customer_Loyalty_Tier,Location,Store_ID,Product_SKU,Product_Category,Purchase_Amount,Payment_Method,Device_Type,IP_Address,Fraud_Flag,Footfall_Count
702bdd9b-9c93-41e3-9dbb-a849b2422080,119dca0b-8554-4b2d-9bec-e964eaf6af97,2025-07-27,04:04:15,56,Silver,San Francisco,FLAGSHIP-LA,NEBULA-SERUM-07,Concealer,158.24,Mobile Payment,Desktop,239.249.58.237,0,333
2e64c346-36bc-4acf-bc2b-8b0fdf46abc5,299df086-26c4-4708-b6d7-fcaeceb14637,2025-03-14,20:23:23,46,Platinum,Zurich,BOUTIQUE-SHANGHAI,STELLAR-FOUND-03,Lipstick,86.03,Credit Card,Tablet,84.49.227.90,0,406
29ad1278-70ce-421f-8d81-23816b39f4ac,dfa3d24d-b935-49a5-aa1d-7d57a44d8773,2025-02-20,12:36:02,32,Silver,Milan,POPUP-TOKYO,SOLAR-BLUSH-04,Mascara,255.69,Gift Card,Desktop,79.207.35.55,0,96
07dc4894-e0eb-48f1-99a7-1942b1973d9b,7a67e184-9369-49ee-aeac-18f5b51b230f,2025-04-25,19:09:43,60,Bronze,London,BOUTIQUE-NYC,GALAXIA-SET-08,Serum,282.76,Gift Card,Mobile,176.194.167.253,0,186
ae407054-5543-429c-918a-cdcc42ea9782,cf14730a-8f5a-453d-b527-39a278852b27,2025-04-17,14:23:23,,Platinum,Miami,BOUTIQUE-NYC,LUNAR-MASC-02,Serum,205.86,Gift Card,Mobile,166.31.46.111,0,179
43a8a133-69a0-4d20-bf2a-d6d2b83e0d3d,f0b34554-3841-45b1-a27e-62c347855e7d,2025-04-12,14:48:04,38,Gold,Sydney,POPUP-TOKYO,SOLAR-BLUSH-04,Eyeliner,135.91,Mobile Payment,Tablet,210.71.0.75,0,244
51175e91-b199-4b3e-9810-99b533492d2e,2d3c1dd3-6844-44f0-ae89-42e7b147b31d,2025-03-21,18:08:33,56,Gold,Sydney,FLAGSHIP-ROME,STELLAR-FOUND-03,Serum,88.5,Gift Card,Mobile,170.76.231.149,0,166
9b5f7324-c8b2-4e36-a888-b0a3aeefd071,7f8cf7cb-a367-4120-8be5-dcefd452262c,2025-03-12,11:25:20,36,Bronze,Shanghai,BOUTIQUE-DUBAI,ORION-CONCEAL-09,Eyeliner,116.29,Mobile Payment,Mobile,100.228.100.105,0,413
d1563d4b-de86-47c5-9df6-bc78259834a8,8d7bd046-4a87-4c8c-850e-4d55f4767119,2025-08-06,20:17:15,40,Gold,Shanghai,POPUP-TOKYO,ECLIPSE-EYE-10,Serum,113.85,Credit Card,Tablet,175.162.153.155,0,481
2ee80052-067d-4ff2-87a6-ec8919d13546,3ae3b36f-25bb-48ca-afee-7c524b58e1a0,2025-07-03,03:01:47,28,Bronze,Tokyo,BOUTIQUE-SHANGHAI,ORION-CONCEAL-09,Mascara,203.38,Credit Card,Desktop,236.222.176.45,0,118
fc5f93c2-a371-4c78-a3eb-ab6c046f0466,fcf9043c-2546-40ae-b048-ab272dc47322,2025-03-08,05:31:33,28,Gold,Dubai,CONCESSION-SINGAPORE,GALAXIA-SET-08,Serum,286.26,Mobile Payment,Laptop,150.4.206.65,0,77
7a7be10d-b2ca-4ae7-a3f1-430d1eaf61fe,2dba69e9-e8cc-4cf1-a809-fab0ea8568f3,2025-07-15,12:58:35,41,Bronze,Las Vegas,POPUP-TOKYO,ECLIPSE-EYE-10,Concealer,62.07,Credit Card,Tablet,219.150.31.189,1,384
152955a2-b19a-4670-a9dc-71d7f87930c7,2b019bf7-67ca-4a5e-b09a-5b899e4e20bf,2025-06-02,03:16:49,53,Gold,Sydney,BOUTIQUE-SHANGHAI,CELESTE-EYE-05,Setting Spray,50.26,Credit Card,Tablet,231.27.0.183,0,63
4ddc2db9-b740-4b4a-bd31-736daf110aee,34a9a67a-1a89-4ef4-91f4-4f02773ced09,2025-02-22,08:45:28,57,VIP,Rome,FLAGSHIP-LA,GALAXIA-SET-08,Eyeshadow Palette,200.05,Mobile Payment,Laptop,29.144.15.120,0,95
0a2ce87a-f9cb-418c-87a8-dc635f9ca46e,e7331e5b-a063-481a-9cfe-b8d13a1d7073,2025-02-21,06:39:18,41,Bronze,London,POPUP-MILAN,GALAXIA-SET-08,Concealer,121.02,None,Desktop,111.201.162.195,0,446
42cb6225-c75b-44cd-8808-031672803880,95ebedcd-f361-4e04-9547-fb1c104df1eb,2025-03-09,22:58:31,20,VIP,Milan,CONCESSION-LONDON,SOLAR-BLUSH-04,Serum,270.14,None,Laptop,104.195.222.108,0,65
18ca8755-d2f5-47aa-8369-66e40a542778,dd0ee70b-abef-49bc-8b2b-2afa72e2f58d,2025-04-10,06:07:08,39,Silver,Miami,CONCESSION-LONDON,ORION-CONCEAL-09,Blush,131.81,Debit Card,Laptop,170.88.243.71,0,473
c3b14f6a-4d08-403e-8936-eef5a89a3ae5,5b3ed56d-ae97-4a70-956e-940f17566df5,2025-04-14,02:28:11,19,Platinum,Sydney,FLAGSHIP-PARIS,STELLAR-FOUND-03,Foundation,122.43,Credit Card,Desktop,49.196.184.213,1,258
0ddc8ec8-2876-408b-82c8-8fdb3de25d1b,ca6dbaf5-b9dd-4954-99b9-6d0064d51107,2025-06-23,22:28:05,41,Gold,Dubai,BOUTIQUE-DUBAI,LUNAR-MASC-02,Setting Spray,117.38,Mobile Payment,Desktop,40.147.64.68,0,207
52b37161-d601-4635-ae3c-ba3a11d1d23e,76d93b6d-c64d-482f-9011-24e6951ccf4c,2025-07-18,21:54:20,61,None,Dubai,CONCESSION-SINGAPORE,AURORA-LIP-01,Eyeshadow Palette,86.21,Credit Card,Laptop,3.36.8.73,0,386
768805a5-f373-4100-8cc9-aa3b83187294,5dd05a7f-ec6f-4208-a120-aee9235f768a,2025-02-20,21:22:45,47,Gold,Paris,POPUP-MILAN,COSMIC-HIGHLIGHT-06,Foundation,195.38,Gift Card,Laptop,185.249.223.69,0,276
8b13ed0c-e1e4-4cb0-9717-babd8b58c8a5,dc6dc635-47f7-404d-aa33-eba56816c6e7,2025-07-07,02:35:34,55,Platinum,Paris,POPUP-MILAN,LUNAR-MASC-02,Concealer,92.05,Credit Card,Tablet,22.70.212.233,0,498
1ca6d410-2328-4f10-a71b-a09ec81463e9,f90ba2d8-3a5f-47ca-9cd4-ecc2b820ed00,2025-04-05,09:57:19,19,Silver,Sydney,FLAGSHIP-LA,AURORA-LIP-01,Mascara,156.16,Mobile Payment,Desktop,229.217.92.232,0,290
c46db64b-0cc1-4fc0-944b-a312b5d259ed,a3e22d40-957f-4a8f-b93b-a41a1a18378d,2025-07-30,05:45:45,,Bronze,Los Angeles,POPUP-TOKYO,CELESTE-EYE-05,Mascara,165.24,Gift Card,Mobile,131.217.230.196,0,107
ab5df119-4148-451b-8566-8a7b02450282,5307ff07-e0e3-4888-bf54-251461834025,2025-08-12,22:40:11,50,Gold,Zurich,BOUTIQUE-DUBAI,STELLAR-FOUND-03,Foundation,55.12,Gift Card,Desktop,91.115.95.217,0,353
2c24d961-7108-465f-831f-4b8a8b8e87e5,cf7f6da8-a3c7-4e0c-a571-a8c51a55cd98,2025-07-03,11:32:14,29,Gold,Dubai,BOUTIQUE-NYC,ORION-CONCEAL-09,Blush,54.2,Gift Card,Laptop,155.3.255.121,0,354
6779b4a0-3272-4674-8779-739f067d56ea,c9f396d5-f170-4e34-827c-baa5b507ab72,2025-06-01,03:12:50,39,Gold,Miami,POPUP-MILAN,NEBULA-SERUM-07,Foundation,180.05,Debit Card,Laptop,183.137.210.187,0,394
ac82c1a4-d5bd-4217-92fc-9be6289492e5,6291086b-8d2d-4970-91ac-018dc79edfc6,2025-04-11,04:15:50,61,Gold,Miami,BOUTIQUE-SHANGHAI,GALAXIA-SET-08,Concealer,224.01,Mobile Payment,Laptop,9.19.247.188,0,179
